Designator,Mouser Part No,Manufacturer Part No,Quantity
AT1,588-TFA16C06DBER,TFA16C06DBER,1
AT2,588-TFA16C03DBER,TFA16C03DBER,1
"C1, C5",581-04024D106MAT2A,04024D106MAT2A,2
"C2, C3, C48, C134, C136, C137, C138, C142, C144, C145, C146, C154, C155, C161, C162, C164, C165",603-CC1206KFX7R9B475,CC1206KFX7R9BB475,17
"C4, C8, C11",77-VJ0402A221KXAAC,VJ0402A221KXAAC,3
"C6, C7",581-04023C104KAT2A62,04023C104KAT2A-62,2
"C9, C10, C12, C38, C39, C53, C54, C59, C60, C61",81-GJM1555C1H1R8CB1J,GJM1555C1H1R8CB01J,10
"C13, C44, C45, C57",581-0402X7R101KT2AT,0402X7R101KT2AT,4
"C14, C21, C22, C24, C25, C28, C30, C32, C37, C42, C43, C46, C47, C51, C52, C58, C74, C75, C78, C79, C82, C83, C84, C86, C89, C92, C95, C101, C102, C103, C104, C105, C106, C107, C108, C109, C116, C117, C119, C120, C123, C128, C148, C167, C171, C173, C175, C177, C179, C181",791-0603X104K250CT,0603X104K250CT,50
"C15, C23, C26",77-VJ0603A100JXBAP,VJ0603A100JXBAP,3
C16,80-T491A475K020,T491A475K020AT,1
"C17, C133, C135, C141, C143",77-V0603Y103KXJAC31X,VJ0603Y103KXJAC31X,5
C18,80-C0603C123F4TACTU,C0603C123F4TACTU,1
C19,581-0603ZC154JAT2A,0603ZC154JAT2A,1
C20,581-06033C562J,06033C562JAT2A,1
"C27, C29, C31, C34, C41, C49, C50, C72, C73, C76, C77, C114, C115, C118, C121, C170, C172, C176, C180",77-VJ0603G225KXQCWBC,VJ0603G225KXQCW1BC,19
"C33, C62, C63, C70, C71",581-06033A101GAT2A,06033A101GAT2A,5
C35,603-CQ0402FRNPO9BN10,CQ0402FRNPO9BN100,1
"C36, C88, C122",77-VJ0402Y103JXJAC,VJ0402Y103JXJAC,3
C40,581-04025A0R5BAT4A,04025A0R5BAT4A,1
"C55, C56",80-C0603C823J3R,C0603C823J3RACTU,2
"C64, C67",77-VJ0603Y332JXBAC,VJ0603Y332JXBAC,2
C65,80-C0603C271J1GAUTO,C0603C271J1GACAUTO,1
C66,80-C0603C302K5G,C0603C302K5GACTU,1
"C68, C69, C80, C81, C85, C87, C91, C93, C94, C96, C110, C111, C174, C178",581-0603YC105KAZ2A,0603YC105KAZ2A,14
"C90, C97, C98, C99, C100",581-06033D475KAT2A,06033D475KAT2A,5
"C112, C113",80-C0603C475K8P7867,C0603C475K8PAC7867,2
C124,81-GRM155R71E223KA6D,GRM155R71E223KA61D,1
"C125, C126",581-TAJB106K020SNJ,TAJB106K020SNJ,2
"C127, C147, C159",581-TAJB475K020,TAJB475K020RNJ,3
"C129, C130, C131, C132, C149, C150, C153, C156, C157, C160, C163",80-C1210C106K6P,C1210C106K6PACTU,11
"C139, C151, C168",77-V0603Y153KXJAC31X,VJ0603Y153KXJAC31X,3
"C140, C152, C169",80-C1210C225J1RAUTO,C1210C225J1RACAUTO,3
"C158, C166",581-06035C102J4T4A,06035C102J4T4A,2
"FB1, FB5",710-742792625,742792625,2
"FB2, FB6, FB7, FB8, FB9",710-742792662,742792662,5
"FB3, FB4",81-BLM18PG181SN1D,BLM18PG181SN1D,2
"FB10, FB11, FB12, FB13",710-742863122,742863122,4
"FL1, FL2",810-DEA16555BT223C2H,DEA165550BT-2230C2-H,2
IC1,772-QPA9501TR13,QPA9501TR13,1
IC2,139-SCN-2-65,SCN-2-65+,1
IC3,584-HMC431LP4E,HMC431LP4E,1
IC4,584-ADF4158CCPZ,ADF4158CCPZ-RL7,1
IC5,595-TRF37A73IDSGR,TRF37A73IDSGR,1
IC6,873-SKY65404-31,SKY65404-31,1
IC7,584-ADL5801ACPZ-R7,ADL5801ACPZ-R7,1
"IC8, IC9",609-5400BL15B0050001,5400BL15B0050001E,2
"IC10, IC11",595-THS4561IDGKT,THS4561IDGKT,2
IC12,584-LTC1420IGN#PBF,LTC1420IGN#PBF,1
IC13,595-INA849DR,INA849DR,1
IC14,771-AHCT2G125DP125,"74AHCT2G125DP,125",1
IC15,511-STM32F429VET6TR,STM32F429VET6TR,1
"IC16, IC17",595-LMK1C1102PWR,LMK1C1102PWR,2
IC18,595-SN74LVC1G04DRY2,SN74LVC1G04DRY2,1
IC19,700-MAX17632CATE+,MAX17632CATE+,1
"IC20, IC21, IC22, IC23",700-MAX38902AATA+T,MAX38902AATA+T,4
IC24,700-MAX17630CATE+,MAX17630CATE+,1
IC25,584-ADM7172ACPZ5.0R7,ADM7172ACPZ-5.0-R7,1
IC26,584-ADM7170ACPZ5.0R7,ADM7170ACPZ-5.0-R7,1
IC27,584-ADP7182AUJZ5.0R7,ADP7182AUJZ-5.0-R7,1
IC28,700-MAX17579ATC+,MAX17579ATC+,1
IC29,886-USB3317C-CP-TR,USB3317C-CP-TR,1
"J1, J2",710-60312202114514,60312202114514,2
J3,,PZ254V-11-04P,1
J4,200-HTSW10307GD,HTSW-103-07-G-D,1
J5,710-694106301002,694106301002,1
J6,640-USB4940-00-A,USB4940-00-A,1
L1,81-LQP03HQ0N6C02D,LQP03HQ0N6C02D,1
L2,81-LQW15AN9N9J80D,LQW15AN9N9J80D,1
L3,70-IHLP5050FDR7R8M5A,IHLP5050FDER7R8M5A,1
L4,70-IHLP5050FDR4R7M5A,IHLP5050FDER4R7M5A,1
L5,810-SPM7054VC-6R8M-D,SPM7054VC-6R8M-D,1
LED1,859-LTST-C171KRKT,LTST-C171KRKT,1
